date_dt,province,confirmed,deaths,recovered,Lat,Long,size
282,2020-01-25,Taiwan,3,0,0,23.7,121.0,1.7320508075688772
283,2020-01-25,Tasmania,0,0,0,-41.4545,145.9707,0.0
284,2020-01-25,"Tempe, AZ",0,0,0,33.4255,-111.94,0.0
285,2020-01-25,Tianjin,10,0,0,39.3054,117.323,3.1622776601683795
286,2020-01-25,Tibet,0,0,0,31.6927,88.0924,0.0
287,2020-01-25,"Toronto, ON",0,0,0,43.6532,-79.3832,0.0
288,2020-01-25,"Travis, CA (From Diamond Princess)",0,0,0,38.2721,-121.9399,0.0
289,2020-01-25,"Umatilla, OR",0,0,0,45.775,-118.7606,0.0
290,2020-01-25,Unassigned Location (From Diamond Princess),0,0,0,35.4437,139.638,0.0
291,2020-01-25,Victoria,0,0,0,-37.8136,144.9631,0.0
292,2020-01-25,Western Australia,0,0,0,-31.9505,115.8605,0.0
293,2020-01-25,Xinjiang,3,0,0,41.1129,85.2401,1.7320508075688772
294,2020-01-25,Yunnan,11,0,0,24.974,101.48700000000001,3.3166247903554
295,2020-01-25,Zhejiang,62,0,1,29.1832,120.0934,7.874007874011811
296,2020-01-26," Montreal, QC",0,0,0,45.5017,-73.5673,0.0
297,2020-01-26,Anhui,60,0,0,31.8257,117.2264,7.745966692414834
298,2020-01-26,Beijing,68,0,2,40.1824,116.4142,8.246211251235321
299,2020-01-26,"Boston, MA",0,0,0,42.3601,-71.0589,0.0
300,2020-01-26,British Columbia,0,0,0,49.2827,-123.1207,0.0
301,2020-01-26,Chongqing,75,0,0,30.0572,107.874,8.660254037844387
302,2020-01-26,"Cook County, IL",1,0,0,41.8781,-87.6298,1.0
303,2020-01-26,Diamond Princess cruise ship,0,0,0,35.4437,139.638,0.0
304,2020-01-26,From Diamond Princess,0,0,0,35.4437,139.638,0.0
305,2020-01-26,Fujian,35,0,0,26.0789,117.9874,5.916079783099616
306,2020-01-26,Gansu,7,0,0,36.0611,103.8343,2.6457513110645907
307,2020-01-26,"Grafton County, NH",0,0,0,43.9088,-71.82600000000001,0.0
308,2020-01-26,Guangdong,111,0,2,23.3417,113.4244,10.535653752852738
309,2020-01-26,Guangxi,36,0,0,23.8298,108.7881,6.0
310,2020-01-26,Guizhou,5,0,0,26.8154,106.8748,2.23606797749979
311,2020-01-26,Hainan,22,0,0,19.1959,109.7453,4.69041575982343
312,2020-01-26,Hebei,13,1,0,38.0428,114.5149,3.605551275463989
313,2020-01-26,Heilongjiang,15,1,0,47.861999999999995,127.7615,3.872983346207417
314,2020-01-26,Henan,83,1,0,33.882020000000004,113.61399999999999,9.1104335791443
315,2020-01-26,"Hillsborough, FL",0,0,0,27.9904,-82.3018,0.0
316,2020-01-26,Hong Kong,8,0,0,22.3,114.2,2.8284271247461903
317,2020-01-26,Hubei,1058,52,42,30.9756,112.2707,32.526911934581186
318,2020-01-26,"Humboldt County, CA",0,0,0,40.745,-123.8695,0.0
319,2020-01-26,Hunan,69,0,0,27.6104,111.7088,8.306623862918075
320,2020-01-26,Inner Mongolia,7,0,0,44.0935,113.9448,2.6457513110645907
321,2020-01-26,Jiangsu,33,0,1,32.9711,119.455,5.744562646538029
322,2020-01-26,Jiangxi,36,0,0,27.614,115.7221,6.0
323,2020-01-26,Jilin,4,0,0,43.6661,126.1923,2.0
324,2020-01-26,"King County, WA",1,0,0,47.6062,-122.3321,1.0
325,2020-01-26,"Lackland, TX (From Diamond Princess)",0,0,0,29.3829,-98.6134,0.0
326,2020-01-26,Liaoning,21,0,0,41.2956,122.6085,4.58257569495584
327,2020-01-26,"London, ON",0,0,0,42.9849,-81.2453,0.0
328,2020-01-26,"Los Angeles, CA",1,0,0,34.0522,-118.2437,1.0
329,2020-01-26,Macau,5,0,0,22.1667,113.55,2.23606797749979
330,2020-01-26,"Madison, WI",0,0,0,43.0731,-89.4012,0.0
331,2020-01-26,New South Wales,3,0,0,-33.8688,151.2093,1.7320508075688772
332,2020-01-26,"New York City, NY",0,0,0,40.7128,-74.006,0.0
333,2020-01-26,Ningxia,4,0,0,37.2692,106.1655,2.0
334,2020-01-26,"Omaha, NE (From Diamond Princess)",0,0,0,41.2545,-95.9758,0.0
335,2020-01-26,"Orange, CA",1,0,0,33.7879,-117.8531,1.0
336,2020-01-26,"Placer County, CA",0,0,0,39.0916,-120.8039,0.0
337,2020-01-26,"Portland, OR",0,0,0,45.5051,-122.675,0.0
338,2020-01-26,"Providence, RI",0,0,0,41.824,-71.4128,0.0
339,2020-01-26,Qinghai,1,0,0,35.7452,95.9956,1.0
340,2020-01-26,Queensland,0,0,0,-28.0167,153.4,0.0
341,2020-01-26,"Sacramento County, CA",0,0,0,38.4747,-121.3542,0.0
342,2020-01-26,"San Antonio, TX",0,0,0,29.4241,-98.4936,0.0
343,2020-01-26,"San Benito, CA",0,0,0,36.5761,-120.9876,0.0
344,2020-01-26,"San Diego County, CA",0,0,0,32.7157,-117.1611,0.0
345,2020-01-26,"San Mateo, CA",0,0,0,37.563,-122.3255,0.0
346,2020-01-26,"Santa Clara, CA",0,0,0,37.3541,-121.9552,0.0
347,2020-01-26,"Sarasota, FL",0,0,0,27.3364,-82.5307,0.0
348,2020-01-26,Shaanxi,22,0,0,35.1917,108.8701,4.69041575982343
349,2020-01-26,Shandong,46,0,0,36.3427,118.1498,6.782329983125268
350,2020-01-26,Shanghai,40,1,1,31.201999999999998,121.4491,6.324555320336759
351,2020-01-26,Shanxi,9,0,0,37.5777,112.2922,3.0
352,2020-01-26,Sichuan,44,0,0,30.6171,102.7103,6.6332495807108
